id	name	lore	description	effectvalue	effect	requirestarget	buff	buffduration	skill	skillexp	tpx	tpy	tpz	powercost	level	races	scholarlylevel	naturallevel	combatlevel	rangedlevel	onCastText	onCastEndText	onCastTargetText	onCastTargetFail	onBuffStartText	onCastPlayerSay	specialeffect	specialeffectvalue	specialeffecttarget	specialeffecttargetvalue	loottables	region
107	Ability: Might	5 years he's conquered that arena - i don't see him giving it up any time soon - Joaira Ragepaw	strength XI buff	6	buff	no	strength	20	combat	320				75					49		You feel powerful!						POTION_BREAK	8	POTION_BREAK	8	Falcion_(Raid)	Caerthiel
108	Ability: Taunt	Yeah you! Come on then! - Liak Ragebourne	aoe dmg 	1	aoedmg	no			combat	320				1					1		You taunt all around you!		You feel angry!	There is one close enough to feel the effect			POTION_BREAK	9	POTION_BREAK	9	Scorch_(Raid)	WestGuard
109	Ability: Strike of the Predator	What's that over there in the trees? - The last words of James Hammerthorn	single target dmg 	4	targetdmg	yes			ranged	320				35						1	You let loose the Arrow of Ashtor!		You are pierced by a deadly arrow!				ARROW_FIRE	1	POTION_BREAK	7	Scorch_(Raid)	WestGuard
110	Spell: Winds of Change	With the arrival of the new gods, everything will change - Prophet Envarik	Group heal	3	aoeheal	no			natural	320				10				1			You have healed all around you!		You are healed				POTION_BREAK	4	POTION_BREAK	4	Scorch_(Raid)	WestGuard
111	Spell: Nova	Conflagration, my dear boy - Arcanist Deliar	Group dmg	3	aoedmg	no			scholarly	320				10			1				You summon a nova storm!		You are struck by a nova storm!	There is one close enough to feel the effect			POTION_BREAK	9	POTION_BREAK	9	Scorch_(Raid)	WestGuard
112	Ability: Hold the Line	Yes I'm ready! - Ebonclaw Direrage	Shielding for guardians	60	buff	no	shield	200	combat	320				100					1		You brace yourself for a heavy fight						POTION_BREAK	8	POTION_BREAK	8	KingAiden_(Raid)	CaerGwyrdd
113	Ability: Poison Tipped Arrow	Only those that could withstand the flames could converse with the lord of fire	ranger poison	2	detrimental	yes	poison	6	ranged	320				50						1	You strike your target with a poisoned tipped arrow!		You are poisoned!				POTION_BREAK	3	POTION_BREAK	3	KingAiden_(Raid)	CaerGwyrdd
114	Spell: Redemption	Oh yer gonna get it! - Dwarven Battle Cleric Halrak Irontoe	cleric strength buff	3	buff	no	strength	20	natural	320				75				1			You feel ready to clobber!						POTION_BREAK	8	POTION_BREAK	8	KingAiden_(Raid)	CaerGwyrdd
115	Spell: Shield of the Magi	Spells are all good, but what happens when you get into a real fight, mage? - Warrior Guildmaster Tempra Stormhand	scholar defense buff	4	buff	no	defense	20	scholarly	320				75			1				You feel defensive						POTION_BREAK	8	POTION_BREAK	8	KingAiden_(Raid)	CaerGwyrdd
116	Spell: Translocate Admin	You are unable to read the text		0	groupteleport	no			natural	320	0	0	0	100				49			You open a portal	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	Sss	Admin
117	Spell: Circle of the Admin	You are unable to read the text		0	groupteleport	no			natural	320	0	0	0	100				49			You open a portal	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	Sss	Admin
118	Spell: Lifetap	Few have spoken of the Burning Circle of Unseen hands, their dark bargains and treacherous deeds are rarely heard of twice	You can put any Dev note here	3	lifetap	yes			scholarly	320				35				10			You sap the life from your opponent and return it to yourself!		You feel your life drain away	There is no target			POTION_BREAK	8	POTION_BREAK	8	Scar	market
119	Spell: Tranquility	Relax your mind - Enchanter Jyani	You can put any Dev note here	1	buff	both	clarity	200	scholarly	320				50				25			A soft breeze slips through your mind...				You feel very tranquil		POTION_BREAK	8	POTION_BREAK	8	Sir_Holden	Landing
120	Spell: Superior Fortitude	Stand your ground!	massive hp buff	370	buff	both	shield	500	natural	320				100				41			Superior runes are summoned forward	The dark runes dissapate	You are surrounded by superior runes!		Superior runes spin around you		POTION_BREAK	8	POTION_BREAK	8	giant	Dungeon-ArcemDal
121	Spell: Ice Comet III	I give you about, hmm, 3 seconds - Spellweaver Wellan	high damage targetted lower mana	25	targetdmg	yes			scholarly	320				75			43				Your target is struck by raw power!		You feel enormous pain!					1	POTION_BREAK	7	enderman	Dungeon-ArcemDal
122	Ability: Trueshot 	Steady! Steady! FIRE!	high damage target	20	targetdmg	yes			ranged	320				75						45	Right on target!		You feel very weak!				ARROW_FIRE	1	POTION_BREAK	7	zombie	Dungeon-ArcemDal
123	Ability: Taunt II	Oh yeah!!!	aoe dmg 	2	aoedmg	no			combat	320				1					46		You taunt your opponents!		You are feel angry!	There is one close enough to feel the effect			POTION_BREAK	9	POTION_BREAK	9	skeleton	Dungeon-ArcemDal
124	Spell: Ranger Salve	We must carry on - Nightstalker Rin	Single target full heal (high power cost)	9	heal	no			ranged	320				100						42	A divine light shines over your target		You are enfused with life!				POTION_BREAK	4	POTION_BREAK	4	zombie	Dungeon-ArcemDal
125	Spell: Call of the Ice Comet	I wonder, hmm, yes perhaps this should work	AoE version of Ice Comet	16	aoedmg	no			scholarly	320				50			42				Ice Comets fall in all directions!		You are struck by an ice comet!				POTION_BREAK	9	POTION_BREAK	9	giant	Dungeon-ArcemDal
126	Spell: Runeguard	Something a matter with your sword, friend? - Arcanist Losian	shielding for wizards	180	buff	no	shield	500	scholarly	320				100			43				You surrounded by a wall of pure mana!						POTION_BREAK	8	POTION_BREAK	8	spider	Dungeon-ArcemDal
127	Spell: Superior Poisoned Dagger	Let them run, the poison will run it's course	high damage  poison	8	detrimental	yes	poison	6	ranged	320				75						42	Poisoned tipped daggers strike your target!		You are struck by a barrage of poisoned daggers!				POTION_BREAK	3	POTION_BREAK	3	zombie	Dungeon-ArcemDal
128	Ability: Enrage	TO THE DEATH!	strength XI buff	7	buff	no	strength	20	combat	320				75					44		You feel powerful!						POTION_BREAK	8	POTION_BREAK	8	giant	Dungeon-ArcemDal
129	Spell: Lifesap	Your end shall be my beginning - Xul'Varien	You can put any Dev note here	5	lifetap	yes			scholarly	320				25				40			You sap the life from your opponent and return it to yourself!		You feel your life drain away	There is no target			POTION_BREAK	8	POTION_BREAK	8	spider	Dungeon-ArcemDal
130	Spell: Clear Mind	The Duneguard worship tranquility above all	You can put any Dev note here	5	buff	both	clarity	200	scholarly	320				50				45			A soft breeze slips through your mind...		You feel very tranquil		You feel very tranquil		POTION_BREAK	8	POTION_BREAK	8	enderman	Dungeon-ArcemDal
131	Spell: Regeneration	Though your journey shall be long and full of hardship, i will watch over you - Methabeht	You can put any Dev note here	5	buff	both	heal	200	natural	320				25				50			You call forth divine blessings		You feel blessed!		You feel yourself regenerate		POTION_BREAK	8	POTION_BREAK	8	Prophet_(Raid)	Nightspire
132	Spell: Rage of the Chef	Om nom nom nom nom!	Summons cake	354	item	no		1	natural	320				50				37													EnragedChef	Dungeon-ArcemDal
133	Ability: Raging Terror	Time for a beating boys! - Arngank Terra	strength XI buff	5	buff	both	strength	20	combat	320				75					49		You fill your party members with rage!				You feel powerful!		POTION_BREAK	8	POTION_BREAK	8	Prophet_(Raid)	Nightspire
134	Spell: Circle of the Admin II	You are unable to read the text		0	groupteleport	no			natural	320	0	0	0	100				49			You open a portal	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	Sss	Admin
135	Ability: Surefire	Annihalate them all - Captain Bosac	high damage target	20	targetdmg	yes			ranged	320				35						49	Right on target!		You feel very weak!				ARROW_FIRE	1	POTION_BREAK	7	King_Stormrider	Beradur
136	Ability: Temperence	I cannot be moved! - Wraithclaw Savagecry	Shielding for guardians	500	buff	no	shield	200	combat	320				100					49		You brace yourself for a heavy fight						POTION_BREAK	8	POTION_BREAK	8	King_Stormrider	Beradur
137	Spell: Lifedraw	Your life shall be mine! - Necromancer Teria	You can put any Dev note here	12	lifetap	yes			scholarly	320				75				50			You sap the life from your opponent and return it to yourself!		You feel your life drain away	There is no target			POTION_BREAK	8	POTION_BREAK	8	King_Stormrider	Beradur
138	Spell: Nature's Savagery	Let the power of nature be your wrath - Josiak Rosethorn	strength XI buff	4	buff	both	strength	20	natural	320				75				50			You fill your party members with rage!				You feel powerful!		POTION_BREAK	8	POTION_BREAK	8	King_Stormrider	Beradur
139	Spell: Gate	The soul is bound to a place	You can put any Dev note here	0	gate	no			natural	320				100				10			You step into the shadows						POTION_BREAK	3	POTION_BREAK	3	Gatecrasher	Dungeon-ArcemDal
140	Translocate: Home	The soul is bound to a place	You can put any Dev note here	0	gate	no			scholarly	320				100			10				You step into the shadows						POTION_BREAK	3	POTION_BREAK	3	Gatecrasher	Dungeon-ArcemDal
141	Spell: Boop!	Death!	high damage targetted lower mana	25	targetdmg	yes			scholarly	320				75			43				Your target is struck by raw power!		You feel enormous pain!						POTION_BREAK	7	Gaer	
142	Item: A lockbox key	lockboxkey - This lock box key has a strange pyramid		0	questitem																										Scar	market
143	Spell: Fall of an Empire	I love you Selorian, I always will - King Lerian II		60	targetdmg	yes			scholarly	320				100			50				Your target takes incredible damage!		You feel terrible!						POTION_BREAK	7	questitem	questitem
144	Item: A faded note	afadednote - Have the spirit sent to the Troll 		0	questitem																										questitem	questitem
145	Item: A signet of the crown	crownsignet - This bears the symbol of the humans		0	questitem																										Selorian	
146	Item: The story of Selorian	storyofselorian - Details of Selorians Family		0	questitem																										questitem	questitem
147	Item: Key to the Plane of Air	keytoplaneofair - A celestial object		0	questitem																										King_Lucius	
148	Spell: Translocate: Barrud	The people of Barrud settled there years before even the fairies	You can put any Dev note here	0	teleport	no			scholarly	320	90	77	1674	100			4				A mystic portal shimmers before you	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	zombie	
149	Ability: Aegis	He just stood there like he didn't feel a thing - Sage Santia Derman	1k shield	1000	buff	no	shield	1000	combat	320				100					50		You have become a living shield!						POTION_BREAK	8	POTION_BREAK	8	questitem	questitem
150	Item: Charged Stone	achargedstone - A shining stone		0	questitem																										Mage_Grint	Dungeon-Belrok
151	Item: Burning Circle note	recruitnote - For Sid		0	questitem																										questitem	questitem
152	Item: Charged Magma	achargedmagma - Shining magma		0	questitem																										Avatar_of_Fire	
153	Spell: Call of the Lost	We have to flee Kumari, Now!! - Xiea Veredeth	changed from quest item to teleport ~Optar~	0	teleport	no			normal	0	1356	63	-508	25	1	human,fairy,highelf,woodelf,halfelf,darkelf,vampire,barbarian,orc,ogre,troll,halfdragon,gnome,goblin,hobbit,highhuman,undead,dwarf,ratman,lizardman,elemental,kobold,angel,fallenangel,clockwork					Speaking the incantations on the scroll opens a portal in front of you	You are ripped away by the portal					POTION_BREAK	3	POTION_BREAK	3	squid	
154	Item: An old eye	blackeye - It's stinky!		0	questitem																										squid	
155	Item: Old Research Notes	researchnotes - Medical records		0	questitem																										squid	RuinsofKumari
156	Item: Charged Air	achargedair - Shining solid air		0	questitem																										RemnantofZephyr	
157	Item: Charged Water	achargedwater - Shining frozen water		0	questitem																										Avatar_of_Water	RuinsofKumari
158	Item: Celestial Glue	celestialglue - Strange goo		0	questitem																										questitem	questitem
159	Item: Aegis	aegis - Celestial Shield		0	questitem																										questitem	questitem
160	Spell: Blessing of Manandu	The shielding provided can be repaired but only with the favour of the divine - Exarch Oliak		100	shieldheal	both			natural	320				10				50			You call forth blessings of manandu		Your shielding reforms				POTION_BREAK	4	POTION_BREAK	4	questitem	questitem
161	Item: An Old Bow	anoldbow - 'Virumaa'		0	questitem																										Undead_Mage	Dungeon-Belrok
162	Item: Piece of a Charged Stone	stoneranger - A shining stone		0	questitem																										a_courier	
163	Item: Orc Skull	orcskull - Orc Head		0	questitem																										Orc_Centurian, Orc_Pawn, Orc_Guard	Dungeon-Urulkar
164	Item: Orc Scalp	orcscalp - Orc Scalp		0	questitem																										Orc_Centurian, Orc_Pawn, Orc_Guard	Dungeon-Urulkar
165	Item: Red Hood Seal	redhoodseal - An identifier		0	questitem																										questitem	questitem
166	Item: Key to the Plane of Air	keytoplaneofair - A celestial object		0	questitem																										questitem	questitem
167	Item: Key to the Plane of Earth	keytoplaneofearth - A celestial object		0	questitem																										questitem	questitem
168	Item: Key to the Plane of Fire	keytoplaneoffire - A celestial object		0	questitem																										questitem	questitem
169	Item: Key to the Plane of Water	keytoplaneofwater - A celestial object		0	questitem																										Prince_Redscar	
170	Ability: Wrath of Shenyi	It was there that Shenyi faced Hiran Asura's mightiest generals and slayed them all with his mighty bow - Scholar Aquinas	single target dmg 	15	detrimental	yes	poison	6	ranged	320				100						50	Shenyi blesses your strike!		You are struck by the wrath of shenyi!				ARROW_FIRE	1	POTION_BREAK	7	questitem	questitem
171	Item: Taint of Necromancy	necrotaint - dark elf magic		0	questitem																										Tainted_Skeleton	Dungeon-Velenvar
172	Item: Blood of a Wither	witherblood - wither blood		0	questitem																										wither	
173	Item: Wearon's Salve	wearonsalve - antidote		0	questitem																										questitem	questitem
174	Item: Scaleguard Trinklet	karnon - Scaleguard Trinklet		0	questitem																										Karnon	
175	Item: A Seasonal Gift Ticket	xmasticket - Xanta's Rewards		0	questitem																										zombie,skeleton, spider, giant	questitem
176	Item: Rune of Death	rune_dead - focused magic	a spell crafting component	0	questitem																										zombie, skeleton	
177	Item: Rune of Elements	rune_elements - focused magic	a spell crafting component	0	questitem																										ghast, blaze	
178	Item: Rune of the Astral	rune_astral - focused magic	a spell crafting component	0	questitem																										enderman	
179	Item: Rune of Disease	rune_diseased - focused magic	a spell crafting component	0	questitem																										spider, cave_spider	
180	Item: Rune of Life	rune_lifeforce - focused magic	a spell crafting component	0	questitem																										squid	
181	Item: Rune of War	rune_war - focused magic	a spell crafting component	0	questitem																										giant	
182	Item: Rune of Shadows	rune_shadows - focused magic	a spell crafting component	0	questitem																										spider, cave_spider	
183	Item: Lesser Manastone	mana_lesser - pure magic	a spell crafting component	0	questitem																										squid	
184	Item: Manastone	mana_normal - pure magic	a spell crafting component	0	questitem																										zombie, skeleton	
185	Item: Greater Manastone	mana_greater - pure magic	a spell crafting component	0	questitem																										spider, creeper	
186	Item: Superior Manastone	mana_superior - pure magic	a spell crafting component	0	questitem																										ghast, blaze	
187	Item: Glowing Manastone	mana_glowing - pure magic	a spell crafting component	0	questitem																										ender_dragon	
188	Item: Blessed Manastone	mana_blessed - pure magic	a spell crafting component	0	questitem																										wither	
